Fecha,Equipo local,Equipo Visitante
27/01/2022,Ecuador,Brasil
27/01/2022,Paraguay,Uruguay
27/01/2022,Chile,Argentina
28/01/2022,Colombia,Peru
28/01/2022,Venezuela,Bolivia
01/02/2022,Bolivia,Chile
01/02/2022,Uruguay,Venezuela
01/02/2022,Argentina,Colombia
01/02/2022,Brasil,Paraguay
01/02/2022,Peru,Ecuador
24/03/2022,Argentina,Venezuela
24/03/2022,Brasil,Chile
24/03/2022,Uruguay,Peru
24/03/2022,Paraguay,Ecuador
24/03/2022,Colombia,Bolivia
29/03/2022,Chile,Uruguay
29/03/2022,Bolivia,Brasil
29/03/2022,Ecuador,Argentina
29/03/2022,Venezuela,Colombia
29/03/2022,Peru,Paraguay
05/09/2021,Brasil,Argentina
